Temperatura;Mês;Ano;Valor_Km2_Turismo_por_Mes;Valor_Turismo_Geral_por_Ano;Estimativa_Km2_Valor;Especies_de_Corais;Crescimento_Mensal;Crescimento_Anual;Crescimento_Total;Comprimento_em_cm;Comprimento_em_Km;Ano_Estimado_de_crescimento;Classificacao_de_Crescimento_de_Corais;Estimativa_Sobrevivencia;Porcentagem_Probabilidade_Considerada;
15;Janeiro;2020;62700000;7000000000;790020;Millepora alcicornis (Coral-de-fogo);0,4;5;5;1260;0,0126;2025;Pequeno;252;70;
17;Fevereiro;2020;62700000;7000000000;56430;Siderastrea stellata (Coral-cerebro);0,04;0,5;0,5;90;0,0009;2025;Pequeno;180;50;
20;Marco;2020;62700000;7000000000;158004;Madracis decactis;0,08;1;1;252;0,00252;2025;Pequeno;252;70;
23;Abril;2020;62700000;7000000000;67716;Mussismilia spp.;0,04;0,5;0,5;108;0,00108;2025;Pequeno;216;60;
25;Maio;2020;62700000;7000000000;15010380;Millepora alcicornis (Coral-de-fogo);0,4;5;50;23940;0,2394;2035;Medio;2520;70;
20;Junho;2020;62700000;7000000000;1501038;Siderastrea stellata (Coral-cerebro);0,04;0,5;5;2394;0,02394;2035;Pequeno;1800;50;
15;Julho;2020;62700000;7000000000;3002076;Madracis decactis;0,08;1;10;4788;0,04788;2035;Medio;2520;70;
15;Janeiro;2019;62700000;7000000000;1501038;Mussismilia spp.;0,04;0,5;5;2394;0,02394;2035;Pequeno;2160;60;
15;Fevereiro;2019;62700000;7000000000;94802400;Millepora alcicornis (Coral-de-fogo);0,4;5;100;151200;1,512;2045;Grande;5040;70;
17;Marco;2019;62700000;7000000000;9480240;Siderastrea stellata (Coral-cerebro);0,04;0,5;10;15120;0,1512;2045;Medio;3600;50;
21;Abril;2019;62700000;7000000000;18960480;Madracis decactis;0,08;1;20;30240;0,3024;2045;Medio;5040;70;
23;Maio;2019;62700000;7000000000;9480240;Mussismilia spp.;0,04;0,5;10;15120;0,1512;2045;Medio;4320;60;
21;Junho;2019;62700000;7000000000;252806400;Millepora alcicornis (Coral-de-fogo);0,4;5;150;403200;4,032;2055;Grande;7560;70;
16;Julho;2019;62700000;7000000000;25280640;Siderastrea stellata (Coral-cerebro);0,04;0,5;15;40320;0,4032;2055;Medio;5400;50;
15;Janeiro;2018;62700000;7000000000;50561280;Madracis decactis;0,08;1;30;80640;0,8064;2055;Medio;7560;70;
15;Fevereiro;2018;62700000;7000000000;25280640;Mussismilia spp.;0,04;0,5;15;40320;0,4032;2055;Medio;6480;60;
17;Marco;2018;62700000;7000000000;489812400;Millepora alcicornis (Coral-de-fogo);0,4;5;200;781200;7,812;2065;Grande;10080;70;
19;Abril;2018;62700000;7000000000;48981240;Siderastrea stellata (Coral-cerebro);0,04;0,5;20;78120;0,7812;2065;Medio;7200;50;
19;Maio;2018;62700000;7000000000;97962480;Madracis decactis;0,08;1;40;156240;1,5624;2065;Medio;10080;70;
18;Junho;2018;62700000;7000000000;48981240;Mussismilia spp.;0,04;0,5;20;78120;0,7812;2065;Medio;8640;60;
15;Julho;2018;62700000;7000000000;805820400;Millepora alcicornis (Coral-de-fogo);0,4;5;250;1285200;12,852;2075;Grande;12600;70;
15;Janeiro;2017;62700000;7000000000;80582040;Siderastrea stellata (Coral-cerebro);0,04;0,5;25;128520;1,2852;2075;Medio;9000;50;
15;Fevereiro;2017;62700000;7000000000;161164080;Madracis decactis;0,08;1;50;257040;2,5704;2075;Medio;12600;70;
16;Marco;2017;62700000;7000000000;80582040;Mussismilia spp.;0,04;0,5;25;128520;1,2852;2075;Medio;10800;60;
17;Abril;2017;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
17;Maio;2017;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
16;Junho;2017;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
15;Julho;2017;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
15;Janeiro;2016;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
15;Fevereiro;2016;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
15;Marco;2016;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
16;Abril;2016;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
16;Maio;2016;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
16;Junho;2016;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
15;Julho;2016;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
15;Janeiro;2015;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
15;Fevereiro;2015;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
15;Marco;2015;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
16;Abril;2015;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
16;Maio;2015;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
16;Junho;2015;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
15;Julho;2015;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
15;Janeiro;2023;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
18;Fevereiro;2023;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
20;Marco;2023;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
22;Abril;2023;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
22;Maio;2023;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
17;Junho;2023;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
15;Julho;2023;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
17;Janeiro;2024;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
22;Fevereiro;2024;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
26;Marco;2024;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
